,original,"random_geometrical n=500, beta=[0.05, 0.25]","random_geometrical n=500, beta=[0.2, 0.4]"
A-n32-k5,843.6881693466261,803.3571022775807,801.0234049597652
A-n38-k5,768.1318037906823,762.1778417231629,766.0214720014294
A-n45-k7,1199.9759634376983,1161.8074058803709,1160.92614512797
A-n55-k9,1099.839530864583,1088.664691067176,1097.1893999393283
A-n60-k9,1421.8826011092533,1368.4100679827804,1366.4388456112406
A-n61-k9,1102.2257523843734,1054.0931416995784,1051.3326653457898
A-n65-k9,1239.420282137327,1204.7691515813897,1197.4936912697033
A-n80-k10,1860.9424980238114,1809.1143256815185,1810.73823753352
B-n50-k7,748.8007847147744,749.533343337871,747.670740751064
B-n52-k7,764.8989122998329,761.7220556430058,757.629862563987
B-n57-k9,1653.4238667610891,1613.8344123578477,1606.816052140381
B-n78-k10,1264.555104458118,1265.767295582689,1261.0294387091205
E-n22-k4,388.77228583912915,383.9254407573105,376.5091169401776
E-n30-k3,534.4482364968426,510.58961406584484,505.6836625383569
E-n33-k4,843.0977933340914,844.7625826250596,842.8024176052013
E-n51-k5,584.6372084179401,562.8572758250095,560.0674188786563
E-n76-k10,907.3923759634118,868.7743200656606,859.2257396621889
E-n76-k14,1054.5993681612335,1054.5993681612335,1052.3331204325477
E-n76-k7,738.1324472633808,717.8542158238473,721.4855073517303
F-n135-k7,1219.320968775061,1214.391109331946,1200.5524367196003
F-n45-k4,739.018681607349,729.7378043230437,727.7463291782954
F-n72-k4,256.1862087461052,256.3216430465662,254.86901707664322
M-n101-k10,833.5085732089905,832.0943120884945,831.0286909972295
M-n121-k7,1068.140694507969,1057.077490539588,1058.61082160294
P-n101-k4,765.3793981291958,738.7031142890417,732.0648548254551
P-n22-k8,590.6210234857076,588.7935242586072,588.793524258607
P-n40-k5,518.3720297625707,474.90327383688395,471.5789124105203
P-n50-k10,739.8375820731868,712.1116162170026,714.2187168290294
P-n55-k15,978.0679667816736,961.2948546966408,958.7495272511985
P-n65-k10,851.6670635731383,823.7916998461352,824.5375192684926
P-n70-k10,896.8628075110696,854.1871670751169,853.6185087497852
P-n76-k4,688.3428122305361,634.5119115306632,638.7067086250869
P-n76-k5,709.375219580286,672.9222973368893,663.9702700210978
